case_number,note,source,updated_at
0000206-69.2013.8.17.1340,two-column DJ-PR edital: the recuperandas' caption bleeds into creditor cells on p1 — identify creditors by CNPJ,verification reader,2026-09-05T13:18:01Z
0000721-61.2024.8.17.2620,"the AJ list prints wrong CNPJs on several rows (p2: Sicoob with Bradesco's CNPJ, Sofisa with Caixa's, BASF with Sicoob's) — identify creditors by the printed name; rows printed under another creditor's name were left out of the face and are flagged","verification reader, 38f0c15b p2",2026-09-05T13:18:01Z
0001639-09.2026.8.17.2810,"the edital (p13) strips 'BANCO' from bank names and prints CNPJs that belong to other entities ('BRASIL S.A.' carries SPC Brasil's CNPJ 29.341.643; 'DANCOVAL' = Daycoval) — identify each bank by name, not by the printed CNPJ","verification reader, GLP edital p13",2026-09-05T13:18:01Z
0003232-89.2024.8.16.0185,falência ENCERRADA by sentença of 01/08/2025 (art. 156 edital on file); debtor BAIXADA at RFB — nothing left to habilitate,"bbsadvogados.com.br edital, 7b043ed69346e1b5.pdf",2026-09-05T13:18:01Z
0005010-50.2013.8.24.0026,falência label rests on the AJ portal category and the file name 'relacao-de-credores-da-falida.pdf'; the list itself is headed 'recuperanda' — confirm on the docket,verification critic,2026-09-05T13:18:01Z
0873061-47.2023.8.19.0001,list prints two 'Valor' columns per creditor (updates of 05/06/2023 and 18/07/2025); the face is the 18/07/2025 figure and the list uses art. 83 class labels,"verification spot-check, 8eb5d0d64353bf5f.pdf p1",2026-09-05T13:18:01Z
5003439-20.2020.8.24.0282,falência label rests on the AJ portal category — confirm on the docket,verification critic,2026-09-05T13:18:01Z
5014104-85.2021.8.21.0010,"eproc header prints 'RECUPERAÇÃO EXTRAJUDICIAL', the edital body invokes arts. 7 §2 and 55 (RJ-only) — confirm the case class in eproc before quoting","verification reader, p1 of 84c58636",2026-09-05T13:18:01Z
5057720-48.2025.8.24.0023,"recuperação EXTRAJUDICIAL (art. 161): plan homologated 06/05/2026 with 62.8% adesão (AJ portal), under appeal; the list is the adherence/quorum list and non-adherent quirografários are bound by the homologated plan (art. 163) — read the plan's terms before quoting",verification reader (Credibilità portal),2026-09-05T13:18:01Z
5088952-81.2025.8.13.0024,priced off the debtor's undated art. 51 list; the AJ's art. 7 §2 list of 06/10/2025 is on file but did not parse — values may differ; DataJud holds only 40 of 839 movements and an art. 53 plan has very probably been filed — check the docket (TJMG) before quoting,verification reader,2026-09-05T13:18:01Z
